"","date","trust_code","covid_flag","admitted_pathways","non_admitted_pathways","incomplete_pathways","incomplete_pathways_with_dta","new_rtt_periods_all_patients","audiology_audiology_assessments","barium_enema","cardiology_echocardiography","cardiology_electrophysiology","colonoscopy","computed_tomography","cystoscopy","dexa_scan","flexi_sigmoidoscopy","gastroscopy","magnetic_resonance_imaging","neurophysiology_peripheral_neurophysiology","non_obstetric_ultrasound","respiratory_physiology_sleep_studies","total","urodynamics_pressures_flows","audiology_assessments","ct","echocardiography","electrophysiology","mri","peripheral_neurophys","sleep_studies","urodynamics","all_diagnostics_tests","operating_theatres","X","occupied_beds","bed_capacity","ratio_doctors","doctors","senior_doctors","nurses","managers","all_ftes","CatchmentYear","trust_total_catchment","date_yr","total_pathways","years_since_covid"
"22",2018 Q2,"RAL","pre-covid",15260,41384,203558,37544,77331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5113,883.336956521739,1114.36956521739,0,0,0,0,0,0,2020,676227,2018,56644,"0_yrs"
"23",2018 Q2,"RAN","pre-covid",1859,3315,18237,6564,7146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5114,111.565217391304,166.54347826087,0,0,0,0,0,0,2020,164723,2018,5174,"0_yrs"
"24",2018 Q2,"RAP","pre-covid",1334,10489,33588,5105,15072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5115,461.032608695652,505.510869565217,0,0,0,0,0,0,2020,202746,2018,11823,"0_yrs"
"25",2018 Q2,"RAS","pre-covid",3976,19205,72716,14685,30042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5116,398.445652173913,484.086956521739,0,0,0,0,0,0,2020,187304,2018,23181,"0_yrs"
"26",2018 Q2,"RAX","pre-covid",3517,15968,55362,9633,24527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5118,375.521739130435,406.391304347826,0,0,0,0,0,0,2020,285688,2018,19485,"0_yrs"
"27",2018 Q2,"RBA","pre-covid",5057,13382,66988,14224,22139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5148,416.45652173913,591.108695652174,0,0,0,0,0,0,0,0,2018,18439,"0_yrs"
"28",2018 Q2,"RBD","pre-covid",4059,7581,37415,8541,14469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5149,264.70652173913,311.836956521739,0,0,0,0,0,0,2020,170832,2018,11640,"0_yrs"
"29",2018 Q2,"RBK","pre-covid",3030,15444,44229,7303,21538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5054,415.086956521739,484.358695652174,0,0,0,0,0,0,2020,200042,2018,18474,"0_yrs"
"30",2018 Q2,"RBL","pre-covid",3780,15848,79407,15210,25322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4989,704.358695652174,792.282608695652,0,0,0,0,0,0,2020,267577,2018,19628,"0_yrs"
"31",2018 Q2,"RBN","pre-covid",1959,6226,20745,5028,10077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4990,656.510869565217,707.25,0,0,0,0,0,0,2020,339106,2018,8185,"0_yrs"
