,cal_quarter,PROCODE,standard_los
167,Q1   2019,RJ7,6.468514676
168,Q1   2019,RJC,6.19600149
169,Q1   2019,RJE,6.382085929
170,Q1   2019,RJL,6.590432943
171,Q1   2019,RJN,7.528327407
172,Q1   2019,RJR,7.696941171
173,Q1   2019,RJZ,7.218199704
174,Q1   2019,RK5,6.574318671
175,Q1   2019,RK9,6.043914235
176,Q1   2019,RKB,6.743054494
177,Q1   2019,RKE,6.627656979
178,Q1   2019,RL4,7.379331616
179,Q1   2019,RLQ,6.26811753
180,Q1   2019,RLT,6.771776097
181,Q1   2019,RM1,5.898558684
182,Q1   2019,RM3,8.408305501
183,Q1   2019,RMC,5.90816252
184,Q1   2019,RMP,6.632544052
185,Q1   2019,RN3,5.923148178
186,Q1   2019,RN5,6.419875277
187,Q1   2019,RN7,6.896855317
188,Q1   2019,RNA,6.578521513
189,Q1   2019,RNN,40.30772294
190,Q1   2019,RNQ,6.875975892
191,Q1   2019,RNS,7.074853538
192,Q1   2019,RNZ,7.02813989
193,Q1   2019,RP5,5.849430883
194,Q1   2019,RPA,6.622792237
195,Q1   2019,RQM,6.031278146
196,Q1   2019,RQW,6.795850047
197,Q1   2019,RQX,6.043277049
198,Q1   2019,RR7,7.236527041
199,Q1   2019,RR8,7.966844966
200,Q1   2019,RRF,4.924599247
201,Q1   2019,RRK,6.589408338
202,Q1   2019,RRV,6.790190757
203,Q1   2019,RTD,6.471953112
204,Q1   2019,RTE,5.739710575
205,Q1   2019,RTF,6.203916944
206,Q1   2019,RTG,6.231380819
207,Q1   2019,RTH,5.268912225
208,Q1   2019,RTK,5.972809956
209,Q1   2019,RTP,7.390572369
210,Q1   2019,RTR,6.234924939
211,Q1   2019,RTX,7.034643589
212,Q1   2019,RVJ,6.517438439
213,Q1   2019,RVR,6.494593561
214,Q1   2019,RVV,6.17756115
215,Q1   2019,RVW,5.326048463
216,Q1   2019,RVY,6.430809798
217,Q1   2019,RWA,5.865894913
218,Q1   2019,RWD,6.503801558
219,Q1   2019,RWE,5.810739608
220,Q1   2019,RWF,5.912359746
221,Q1   2019,RWG,6.353271042
222,Q1   2019,RWH,5.331950501
223,Q1   2019,RWJ,6.764763788
224,Q1   2019,RWP,6.235716657
225,Q1   2019,RWW,6.73894725
226,Q1   2019,RWY,5.368216433
227,Q1   2019,RX1,6.405496548
228,Q1   2019,RXC,6.888489065
229,Q1   2019,RXF,6.319659766
230,Q1   2019,RXK,5.419474051
231,Q1   2019,RXL,7.760694056
232,Q1   2019,RXN,7.008291286
233,Q1   2019,RXP,5.958211042
234,Q1   2019,RXQ,7.255831962
235,Q1   2019,RXR,6.616376252
236,Q1   2019,RXW,5.616650667
237,Q1   2019,RYJ,6.858769163
238,Q1   2019,RYR,6.891778678
239,Q1   2020,R0A,8.032129761
240,Q1   2020,R0B,7.090790667
241,Q1   2020,R1F,9.131307295
242,Q1   2020,R1H,6.710124985
243,Q1   2020,R1K,7.439205806
244,Q1   2020,RA2,5.689148945
245,Q1   2020,RA4,6.719805683
246,Q1   2020,RA7,6.451226979
247,Q1   2020,RA9,6.292765366
248,Q1   2020,RAE,5.483546315
249,Q1   2020,RAJ,5.890729794
250,Q1   2020,RAL,7.126397206
251,Q1   2020,RAP,7.445638992
252,Q1   2020,RAS,6.862095453
253,Q1   2020,RAX,6.295017773
254,Q1   2020,RBK,6.843677319
255,Q1   2020,RBL,8.475579345
256,Q1   2020,RBN,6.375491454
257,Q1   2020,RBT,7.082927812
258,Q1   2020,RBZ,5.715156358
259,Q1   2020,RC9,6.291059649
260,Q1   2020,RCB,6.815642318
261,Q1   2020,RCD,6.988266561
262,Q1   2020,RCF,7.201280505
263,Q1   2020,RCX,6.474042066
264,Q1   2020,RD1,6.40537778
265,Q1   2020,RD8,7.403008913
266,Q1   2020,RDE,6.597781686
267,Q1   2020,RDU,6.631405031
268,Q1   2020,REF,5.737692712
269,Q1   2020,REM,7.21396748
270,Q1   2020,RF4,7.30641256
271,Q1   2020,RFF,5.216330866
272,Q1   2020,RFR,6.183638747
273,Q1   2020,RFS,6.5009073
274,Q1   2020,RGN,6.992174549
275,Q1   2020,RGP,7.836081478
276,Q1   2020,RGR,7.04846291
277,Q1   2020,RGT,8.041426207
278,Q1   2020,RH5,45.33284153
279,Q1   2020,RH8,7.177414737
280,Q1   2020,RHM,7.17454337
281,Q1   2020,RHQ,6.717984567
282,Q1   2020,RHU,6.911890859
283,Q1   2020,RHW,6.468824906
284,Q1   2020,RJ1,5.870392539
285,Q1   2020,RJ2,7.467429968
286,Q1   2020,RJ6,7.692321006
287,Q1   2020,RJ7,7.797868225
288,Q1   2020,RJC,7.049191592
289,Q1   2020,RJE,6.876031381
290,Q1   2020,RJL,6.918668512
291,Q1   2020,RJN,9.011975616
292,Q1   2020,RJR,8.326497955
293,Q1   2020,RJZ,8.070349766
294,Q1   2020,RK5,6.108415283
295,Q1   2020,RK9,6.88824119
296,Q1   2020,RKB,7.367162646
297,Q1   2020,RKE,6.925683597
