,cal_quarter,PROCODE,los_unadjusted
167,Q1   2019,RJ7,6.817818111
168,Q1   2019,RJC,6.396807078
169,Q1   2019,RJE,6.825051626
170,Q1   2019,RJL,6.920555623
171,Q1   2019,RJN,7.643243243
172,Q1   2019,RJR,8.316183529
173,Q1   2019,RJZ,7.481514692
174,Q1   2019,RK5,7.151037938
175,Q1   2019,RK9,6.195868946
176,Q1   2019,RKB,7.169331519
177,Q1   2019,RKE,7.216113416
178,Q1   2019,RL4,7.762377436
179,Q1   2019,RLQ,6.684410646
180,Q1   2019,RLT,7.025278608
181,Q1   2019,RM1,6.245341355
182,Q1   2019,RM3,8.957827556
183,Q1   2019,RMC,6.338795256
184,Q1   2019,RMP,7.087788407
185,Q1   2019,RN3,6.548966408
186,Q1   2019,RN5,7.245991808
187,Q1   2019,RN7,7.876630435
188,Q1   2019,RNA,7.083507017
189,Q1   2019,RNN,42.51152074
190,Q1   2019,RNQ,7.449508641
191,Q1   2019,RNS,7.898528071
192,Q1   2019,RNZ,7.633534811
193,Q1   2019,RP5,6.293582776
194,Q1   2019,RPA,7.21155624
195,Q1   2019,RQM,6.677307348
196,Q1   2019,RQW,7.574183976
197,Q1   2019,RQX,6.495212374
198,Q1   2019,RR7,7.474607572
199,Q1   2019,RR8,8.279282002
200,Q1   2019,RRF,5.214099595
201,Q1   2019,RRK,7.033501259
202,Q1   2019,RRV,6.978598588
203,Q1   2019,RTD,6.764184521
204,Q1   2019,RTE,6.007308754
205,Q1   2019,RTF,7.03120157
206,Q1   2019,RTG,6.654580562
207,Q1   2019,RTH,5.488696255
208,Q1   2019,RTK,6.432224607
209,Q1   2019,RTP,7.782655103
210,Q1   2019,RTR,6.523645447
211,Q1   2019,RTX,7.412100791
212,Q1   2019,RVJ,7.11898119
213,Q1   2019,RVR,7.250984653
214,Q1   2019,RVV,6.704185693
215,Q1   2019,RVW,5.764191016
216,Q1   2019,RVY,7.139161677
217,Q1   2019,RWA,6.029946524
218,Q1   2019,RWD,6.749533503
219,Q1   2019,RWE,6.068681046
220,Q1   2019,RWF,6.731761152
221,Q1   2019,RWG,6.949075247
222,Q1   2019,RWH,5.637888058
223,Q1   2019,RWJ,7.582453416
224,Q1   2019,RWP,6.678825442
225,Q1   2019,RWW,8.126870021
226,Q1   2019,RWY,5.77839745
227,Q1   2019,RX1,6.797203994
228,Q1   2019,RXC,7.464084423
229,Q1   2019,RXF,6.886996629
230,Q1   2019,RXK,5.705502646
231,Q1   2019,RXL,8.210026927
232,Q1   2019,RXN,7.484100939
233,Q1   2019,RXP,6.368039443
234,Q1   2019,RXQ,8.066115702
235,Q1   2019,RXR,7.336211327
236,Q1   2019,RXW,5.942479634
237,Q1   2019,RYJ,7.112004548
238,Q1   2019,RYR,7.507504329
239,Q1   2020,R0A,8.876793667
240,Q1   2020,R0B,7.737348506
241,Q1   2020,R1F,9.115188953
242,Q1   2020,R1H,7.31061349
243,Q1   2020,R1K,8.318013468
244,Q1   2020,RA2,6.532752613
245,Q1   2020,RA4,7.538440641
246,Q1   2020,RA7,7.324298026
247,Q1   2020,RA9,6.914718251
248,Q1   2020,RAE,6.203272128
249,Q1   2020,RAJ,6.306026365
250,Q1   2020,RAL,7.81481798
251,Q1   2020,RAP,8.231300345
252,Q1   2020,RAS,7.64524356
253,Q1   2020,RAX,7.091583079
254,Q1   2020,RBK,8.198824867
255,Q1   2020,RBL,9.214517486
256,Q1   2020,RBN,7.381381381
257,Q1   2020,RBT,8.050576923
258,Q1   2020,RBZ,6.302378256
259,Q1   2020,RC9,7.0138148
260,Q1   2020,RCB,7.332781
261,Q1   2020,RCD,7.500140568
262,Q1   2020,RCF,8.078639456
263,Q1   2020,RCX,7.09536576
264,Q1   2020,RD1,6.986330742
265,Q1   2020,RD8,7.954799917
266,Q1   2020,RDE,6.92513665
267,Q1   2020,RDU,7.49031477
268,Q1   2020,REF,6.154616512
269,Q1   2020,REM,8.121150021
270,Q1   2020,RF4,7.962416851
271,Q1   2020,RFF,5.576962111
272,Q1   2020,RFR,6.407495866
273,Q1   2020,RFS,6.955991005
274,Q1   2020,RGN,7.584968982
275,Q1   2020,RGP,8.562648315
276,Q1   2020,RGR,7.391793755
277,Q1   2020,RGT,8.412962025
278,Q1   2020,RH5,44.96485623
279,Q1   2020,RH8,7.602786273
280,Q1   2020,RHM,7.637161668
281,Q1   2020,RHQ,7.193653232
