"","date","trust_code","Total","Professionally qualified clinical staff","HCHS Doctors","Consultant","Associate Specialist","Specialty Doctor","Staff Grade","Specialty Registrar","Core Training","Foundation Doctor Year 2","Foundation Doctor Year 1","Hospital Practitioner / Clinical Assistant","Other and Local HCHS Doctor Grades","Nurses & health visitors","Midwives","Ambulance staff","Scientific, therapeutic & technical staff","Support to clinical staff","Support to doctors, nurses & midwives","Support to ambulance staff","Support to ST&T staff","NHS infrastructure support","Central functions","Hotel, property & estates","Senior managers","Managers","Other staff or those with unknown classification","managers","all_doctors","nurses"
"28",2019 Q1,"02G",51.03334,9.3,1.9,0,0,0,0,0,0,0,0,0.3,1.6,2,0,0,5.4,10.21334,0,0,10.21334,31.52,12,0,11.2,8.32,0,19.52,3.5,2
"29",2019 Q1,"02H",139.86865,36.93441,1.70774,0,0,0,0,0,0,0,0,0,1.70774,18.05334,0,0,17.17333,1.13333,1.13333,0,0,96.80091,52.80091,0,18,26,5,44,3.41548,18.05334
"30",2019 Q1,"02M",56.68187,3.86587,0.9592,0.5,0,0,0,0,0,0,0,0.4592,0,1.90667,0,0,1,0,0,0,0,52.816,23.38666,0,11.90934,17.52,0,29.42934,1.4592,1.90667
"31",2019 Q1,"02P",109.60428,40.93814,0.75255,0,0,0,0,0,0,0,0,0.75255,0,13.52,0,0,26.66559,0,0,0,0,68.66614,29.40614,0,25.26,14,0,39.26,0.75255,13.52
"32",2019 Q1,"02Q",41.25031,9.47031,0.36364,0,0,0,0,0,0,0,0,0.36364,0,7.30667,0,0,1.8,0,0,0,0,31.78,14.04667,0,13.4,4.33333,0,17.73333,0.36364,7.30667
"33",2019 Q1,"02R",187.19132,16.60307,0.5909,0,0,0,0,0,0,0,0,0.5909,0,13.72,0,0,2.29217,5.30667,5.30667,0,0,165.28158,101.01777,0,55.66381,8.6,0,64.26381,0.5909,13.72
"34",2019 Q1,"02T",81.1824,14.37494,0.18827,0,0,0,0,0,0,0,0,0,0.18827,12.2,0,0,1.98667,0,0,0,0,66.80746,42.42,0,16.09333,8.29413,0,24.38746,0.37654,12.2
"35",2019 Q1,"02W",1.78186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78186,0,0,1.78186,0,0,1.78186,0,0
"36",2019 Q1,"02X",150.68001,50.73334,0.81333,0,0,0,0,0,0,0,0,0.81333,0,40.68001,0,0,9.24,0,0,0,0,99.94667,49.70666,0,28.16001,22.08,0,50.24001,0.81333,40.68001
"37",2019 Q1,"02Y",109.60873,23.84,0.2,0,0,0,0,0,0,0,0,0,0.2,22.44,0,0,1.2,1,1,0,0,83.76873,55.85254,0,16.41619,11.5,1,27.91619,0.4,22.44
"38",2019 Q1,"03A",89.70823,15.62667,0.4,0,0,0,0,0,0,0,0,0,0.4,6.6,0,0,8.62667,0.58824,0.58824,0,0,73.49332,36.97332,0,12.8,23.72,0,36.52,0.8,6.6
"39",2019 Q1,"03D",33.27574,4.34907,0.74907,0,0,0,0,0,0,0,0,0.04907,0.7,3.6,0,0,0,0,0,0,0,28.92667,14.44667,0,7.68,6.8,0,14.48,1.44907,3.6
"40",2019 Q1,"03E",44.54767,16.92467,0.238,0,0,0,0,0,0,0,0,0.238,0,1.4,0,0,15.28667,0,0,0,0,27.623,11.6,0,8.623,7.4,0,16.023,0.238,1.4
"41",2019 Q1,"03F",73.23364,6.78,1.5,1,0,0,0,0,0,0,0,0.5,0,5.2,0,0,0.08,0,0,0,0,66.45364,34.21334,0,21.54,10.7003,0,32.2403,2.5,5.2
"42",2019 Q1,"03H",86.70669,9.38,0.2,0,0,0,0,0,0,0,0,0.2,0,9.18,0,0,0,1.56,0,0,1.56,75.76669,41.99335,0,18.17334,15.6,0,33.77334,0.2,9.18
"43",2019 Q1,"03J",86.58933,20.64267,0.096,0,0,0,0,0,0,0,0,0.04907,0.04693,12.30667,0,0,8.24,2,2,0,0,63.94666,31.54666,0,14.8,17.6,0,32.4,0.14293,12.30667
"44",2019 Q1,"03K",57.32,14.99333,1.11333,0,0,0,0,0,0,0,0,0.5,0.61333,13.88,0,0,0,0,0,0,0,42.32667,25.2,0,10.5,6.62667,0,17.12667,1.72666,13.88
"45",2019 Q1,"03L",99.29011,31.92211,1.93545,0,0,0,0,0,0,0,0,1.93545,0,20.29333,0,0,9.69333,0,0,0,0,66.368,30.34133,0,20.8,15.22667,1,36.02667,1.93545,20.29333
"46",2019 Q1,"03M",65.67571,14.26905,0.06905,0,0,0,0,0,0,0,0,0.06905,0,14.2,0,0,0,0,0,0,0,51.40666,22.98666,0,15.11333,13.30667,0,28.42,0.06905,14.2
"47",2019 Q1,"03N",280.32101,102.81867,5.40001,0,0,0,0,0,0,0,0,3.00001,2.4,59.22667,0,0,38.19199,0,0,0,0,177.50234,64.61999,0,60.32475,52.5576,0,112.88235,7.80001,59.22667
"48",2019 Q1,"03Q",112.58524,25.8575,1.0375,0,0,0,0,0,0,0,0,1.0375,0,20.12667,0,0,4.69333,0,0,0,0,86.72774,67.30774,0,8.45333,10.96667,0,19.42,1.0375,20.12667
"49",2019 Q1,"03R",177.56402,30.64001,0,0,0,0,0,0,0,0,0,0,0,23.05334,0,0,7.58667,0,0,0,0,145.92401,47.21334,0,53.584,45.12667,1,98.71067,0,23.05334
"50",2019 Q1,"03T",60.64,6.6,0,0,0,0,0,0,0,0,0,0,0,5.6,1,0,0,0,0,0,0,54.04,24.64,0,9,20.4,0,29.4,0,5.6
"51",2019 Q1,"03V",7.70667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70667,3.8,0,3,0.90667,0,3.90667,0,0
"52",2019 Q1,"03W",81.49998,11.39333,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,4.59333,0,0,0,0,69.10665,28.14666,0,14.44,26.51999,1,40.95999,0,6.8
"53",2019 Q1,"03X",20.9,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17.9,10.9,0,5,2,0,7,0,3
"54",2019 Q1,"03Y",32.44,4,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,28.44,9.66667,0,9.8,8.97333,0,18.77333,0,3
"55",2019 Q1,"04C",95.03999,19.60666,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,9.20666,0,0,0,0,75.43333,31.08,0,14.80666,29.54667,0,44.35333,0,10.4
"56",2019 Q1,"04D",61.48668,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,52.48668,19.86667,0,2,30.62001,0,32.62001,0,9
"57",2019 Q1,"04E",100.58532,17.82239,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,7.42239,0,0,0,0,82.76293,32.21627,0,20.17333,30.37333,0,50.54666,0,10.4
"58",2019 Q1,"04F",84.08667,20.68667,0,0,0,0,0,0,0,0,0,0,0,14.2,0,0,6.48667,1.6,1.6,0,0,61.8,14.09333,0,24.50667,23.2,0,47.70667,0,14.2
"59",2019 Q1,"04G",122.48692,40.7536,0,0,0,0,0,0,0,0,0,0,0,17.7936,0,0,22.96,0,0,0,0,81.73332,38.31999,0,21.6,21.81333,0,43.41333,0,17.7936
"60",2019 Q1,"04H",31.77334,13.6,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0,3,0.4,0.4,0,0,17.77334,9.32001,0,3.85333,4.6,0,8.45333,0,10.6
"61",2019 Q1,"04J",110.152,26.07333,0.8,0,0,0,0,0,0,0,0,0.8,0,6.8,0,0,18.47333,0,0,0,0,84.07867,44.052,0,17.44,22.58667,0,40.02667,0.8,6.8
"62",2019 Q1,"04K",125.06602,19.59999,2.66666,0,0,0,0,0,0,0,0,2.45333,0.21333,8.34667,0,0,8.58666,0,0,0,0,105.46603,49.44666,0,15.18603,40.83334,0,56.01937,2.87999,8.34667
"63",2019 Q1,"04L",56.24,12.10667,0.10667,0,0,0,0,0,0,0,0,0.10667,0,4,0,0,8,2,2,0,0,42.13333,21.4,0,13.6,7.13333,0,20.73333,0.10667,4
"64",2019 Q1,"04M",24.20666,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,20.98666,7.58666,0,3,10.4,0,13.4,0,0
"65",2019 Q1,"04N",75.98401,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.94,0,0,0,0,66.04401,34.61334,0,11.76,19.67067,0,31.43067,0,0
"66",2019 Q1,"04Q",65.35332,7.3,0.7,0,0,0,0,0,0,0,0,0.7,0,6.6,0,0,0,0.37333,0.37333,0,0,57.67999,52.82666,1,1,2.85333,0,3.85333,0.7,6.6
"67",2019 Q1,"04R",149.52587,41.74907,0.052,0,0,0,0,0,0,0,0,0.052,0,8.8,0,0,32.89707,1,0,0,1,106.7768,47.06346,0,25.2,34.51334,0,59.71334,0.052,8.8
"68",2019 Q1,"04V",72.23174,11.54667,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,7.74667,0.5,0.5,0,0,60.18507,27.2184,0,10,22.96667,0,32.96667,0,3.8
"69",2019 Q1,"04Y",7.16,2.90667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90667,0,0,0,0,4.25333,1.25333,0,2,1,0,3,0,0
"70",2019 Q1,"05A",196.33947,52.84534,5.34188,2.36364,0,0,0,0,0,0,0,2.60491,0.37333,27.84,0,0,19.66346,12.53333,12.53333,0,0,130.9608,75.04668,0,27.82746,28.08666,0,55.91412,8.07885,27.84
